Browser,Creator,Cost (USD),Software license,Current layout engine,Latest release version
4.7.5.4000 (May 28, 2020; 3 months ago (2020-05-28)[69])

macOS
4.7.5 (June 10, 2020; 2 months ago (2020-06-10)[70])

iOS
4.6.4 (July 14, 2020; 45 days ago (2020-07-14)[71])

Android
3.5.21 (May 25, 2020; 3 months ago (2020-05-25)[72]) [±]"
SRWare Iron,SRWare,Free,Proprietary,Blink,"Windows83.0.4250.0 / July 5, 2020; 54 days ago (2020-07-05)[73]macOS81.0.4200.0 / May 12, 2020; 3 months ago (2020-05-12)[74]Linux81.0.4200.0 / May 13, 2020; 3 months ago (2020-05-13)[75]Android74.0.3850.0 / May 10, 2019; 15 months ago (2019-05-10)[76]",Windows,"83.0.4250.0 / July 5, 2020; 54 days ago (2020-07-05)[73]",macOS,"81.0.4200.0 / May 12, 2020; 3 months ago (2020-05-12)[74]",Linux,"81.0.4200.0 / May 13, 2020; 3 months ago (2020-05-13)[75]",Android,"74.0.3850.0 / May 10, 2019; 15 months ago (2019-05-10)[76]"
Windows,"83.0.4250.0 / July 5, 2020; 54 days ago (2020-07-05)[73]"
macOS,"81.0.4200.0 / May 12, 2020; 3 months ago (2020-05-12)[74]"
Linux,"81.0.4200.0 / May 13, 2020; 3 months ago (2020-05-13)[75]"
Android,"74.0.3850.0 / May 10, 2019; 15 months ago (2019-05-10)[76]"
surf,suckless.org,Free,MIT,WebKit,2.0 (28 March 2017; 3 years ago (2017-03-28)[77]) [±]
Torch Browser,Torch Media,Free,Proprietary,Blink,"69.2.0.1706 (June 8, 2020; 2 months ago (2020-06-08)[78]) [±]"
Uzbl (discontinued),Dieter Plaetinck,Free,GPL 3.0,WebKit,"0.9.1 (October 27, 2016; 3 years ago (2016-10-27)[79]) [±]"
Vivaldi,Vivaldi Technologies,Free,Proprietary,Blink,"Linux, macOS, Windows
3.2 (1967.45) (August 18, 2020; 10 days ago (2020-08-18)[80]) [±]

Android
3.2 (1996.19) (August 12, 2020; 16 days ago (2020-08-12)[81]) [±]"
Waterfox,Alex Kontos,Free,MPL 2.0,Gecko,2020.07.1 (2 July 2020; 57 days ago (2020-07-02)[82]) [±]
Web (formerly named Epiphany),Marco Pesenti Gritti,Free,GPL,WebKit,3.36.4[83] (8 July 2020; 51 days ago (2020-07-08)) [±]
WorldWideWeb (Later renamed Nexus) (discontinued),Tim Berners-Lee,Free,Public domain,custom,"0.18 (January 14, 1994; 26 years ago (1994-01-14)) [±]"
